time,mac_address,service_uuid,rssi
15:22:41,4a:f7:22:04:bd:ed,4c000f0200001005431cb09147021a,-49
15:22:41,54:8b:f1:30:32:b6,4c000c0e00dcdf7a77b39324fa462f5eb6551006491d614bd9581a,-63
15:22:41,7b:27:70:1d:70:a6,4c001006211e3801d9300c1a,-100
15:22:41,7d:26:1f:f6:68:57,8ebc2114-4abd-ba0d-b7c6-ff0a00200037,-65
15:22:41,fb:6e:df:af:49:a9,Rbtd502036b581b4e07000000000000002600270035daffffffffffffffff06,-55
15:22:41,45:73:ef:e3:e6:a7,f3fe4a1723325646441132c8903eacb8c37ae1cb5ab2c8f4869c14b6bc0000fef3-0000-1000-8000-00805f9b34fb,-92
15:22:41,59:40:e4:b8:04:19,4c000512000000000000000002299e7b5b747fdc6e001a,-59
15:22:41,6d:81:00:ed:5f:ef,4c0009081362c0a8640f1b58160800426df515a927961a,-55
15:22:41,ed:6c:25:3e:ba:df,4c00121910cb5b853df5e77994d295a86ff15b020b030fe6c9c1ed030f,-66
15:22:41,12:15:d1:7c:97:d7,f3fe4a1723485136461132f5fdf74f70c04158b325d41f2504777f545d,-82
15:22:41,45:c6:03:31:f9:5c,4c000c0e087874f433fbfe9e5af3217989af10060f1dab66a6181a,-54
15:22:41,79:43:8b:9e:08:d6,b8fe22018e053247305943315a463746303731530000feb8-0000-1000-8000-00805f9b34fbMeta Quest 302,-59
15:22:41,78:91:c3:32:88:e8,4c0010054d1c3357ef0c1a,-51
15:22:41,70:ff:6f:9c:86:5a,4c0009081350c0a8c9021b5816080006925111dbf2c31a,-53
15:22:41,57:cb:c1:28:28:93,4c0010077d1fd36a6b4b48081a,-56
15:22:41,d0:d2:b0:8b:78:b3,4c0010050d14b338050c1a,-55
15:22:41,7f:96:96:c2:84:7b,4c00100203000b1a,-58
15:22:41,61:a1:25:d9:0d:0b,4c0010054d1c3357ef0c1a,-52
15:22:41,7c:17:42:69:85:6f,4c0010057f1cf2caf90c1a,-54
15:22:41,61:54:c7:db:9b:ee,f3fe1101beca5dec,-85
